"filename", "language", "C++", "comment", "blank", "total"
"/Users/jamesweigand/Documents/msfl/src/asset.cpp", "C++", 48, 22, 22, 92
"/Users/jamesweigand/Documents/msfl/src/msutil.hpp", "C++", 25, 0, 4, 29
"Total", "-", 73, 22, 26, 121
